code,designation,prix,type_article,nature,classe,ville
CM _6318,Français : LIVRET D’ACTIVITE DE FRANÇAIS (EDICEF/CLE),1300,manuel,Homologué,CM I,
CM _6863,Littérature : LA NAISSANCE D’UNE GRANDE NATION LITTERATURE CM1(ECLOSION),1000,manuel,Homologué,CM I,
CM _5677,Mathématiques : Livret D’activité De Mathématiques Cm1(nathan),1000,manuel,Homologué,CM I,
CM _370,Mathématiques : MATHEMATIQUES CM1(NATHAN),1900,manuel,Homologué,CM I,
CM _4502,Science Et Technologie : SCIENCES ET TECHNOLOGIES CM1(NMI EDUCATION),1800,manuel,Homologué,CM I,
CM _1483,Sciences Humaines Et Sociales : SCIENCES HUMAINES ET SOCIALES(EDICEF),1850,manuel,Homologué,CM I,
CM _7189,TIC: TIC CM1 Et CM2 (MONDOUX),1800,manuel,Homologué,CM I,
CM _9161,Anglais : ANGLAIS CM2 (COSMOS),1900,manuel,Homologué,CM II,
CM _2926,Anglais : LIVRET D’ACTIVITES D’ANGLAIS CM2 (COSMOS),1200,manuel,Homologué,CM II,
CM _2269,Français : CHAMPIONS EN FRANÇAIS CM2 (EDICEF/CLE),1900,manuel,Homologué,CM II,
CM _3081,Français : LIVRET D’ACTIVITE DE FRANÇAIS CM1 (EDICEF/CLE),1300,manuel,Homologué,CM II,
CM _1738,Littérature : UNE NATION BENIE (ECLOSION),1000,manuel,Homologué,CM II,
CM _95,Mathématiques : LIVRET D’ACTIVITE DE MATHEMATIQUES CM2 (AFRICA EDUCATION),1250,manuel,Homologué,CM II,
CM _5887,Mathématiques : MATHEMATIQUES CM2 (AFRICA EDUCATION),1900,manuel,Homologué,CM II,
CM _389,Science Et Technologie : SCIENCE ET TECHNOLOGIE (COSMOS),1800,manuel,Homologué,CM II,
CM _2087,Sciences Humaines Et Sociales : SCIENCES HUMAINES ET SOCIALES (EDICEF),1850,manuel,Homologué,CM II,
CM _2872,TIC: TIC CM1-CM2 (mondoux),1800,manuel,Homologué,CM II,
6E_5794,EDUCATION A LA CITOYENNETE 6ème/5ème (MONDOUX),3500,manuel,Homologué,6e,
6E_5933,Informatique : INFORMATIQUE 6EME (ECLOSION),3500,manuel,Homologué,6e,
6E_8019,Mathématiques : MATHEMATIQUES 6EME (MONDOUX),4000,manuel,Homologué,6e,
6E_8118,Sciences : SCIENCES 6 EME (AFRICA EDUCATION),5000,manuel,Homologué,6e,
5E_5062,Anglais: ANGLAISE 5EME (AFRICA EDUCATION),4500,manuel,Homologué,5e,
5E_1069,Education À La Citoyenneté 6ème/5ème (mondoux),3500,manuel,Homologué,5e,
5E_4724,Géographie: PLANETE CAMEROUN 5EME (EDICEF ERA),4300,manuel,Homologué,5e,
5E_7328,HISTOIRE: PLANETE CAMEROUN 5 /6 EME (HATIER ERA),4200,manuel,Homologué,5e,
5E_5054,Informatique : INFORMATIQUE 5 EME (NMI),4000,manuel,Homologué,5e,
5E_5537,Langue Française : FRANÇAIS 5EME (AFRICA EDUCATION),4500,manuel,Homologué,5e,
5E_5105,Latin: LATINISTAS 6/5 EME(ECLOISION),5000,manuel,Homologué,5e,
5E_7841,L’ARBRE FETICHE (CLE),2000,manuel,Homologué,5e,
5E_3536,Mathématiques : Mathématiques 5EME (COSMOS),4200,manuel,Homologué,5e,
5E_9069,"N’KUM-WAM, LE HUITIEME NOTABLE(AFREDIT)",2000,manuel,Homologué,5e,
5E_2270,PERE INCONNU (EDICEF / NEA),2000,manuel,Homologué,5e,
5E_6975,Sciences : SCIENCE 5EME (CLE),4000,manuel,Homologué,5e,
4E _1255,Allemand : ERWACHEN/ALLEMAND 4EME (NMI),4500,manuel,Homologué,4e ALL,
4E _3207,Anglais : LEVEIL EN ANGLAIS 4 EME (NMI),4000,manuel,Homologué,4e ALL,
4E _5647,CŒUR DU SAHEL (PROXIMITE),2500,manuel,Homologué,4e ALL,
4E _4476,Education À La Citoyenneté 4ème Et 3ème /. (mondoux),3500,manuel,Homologué,4e ALL,
4E _6102,Grec : Je Découvre La Langue Grec 4/ EME(ECLOSION),5000,manuel,Homologué,4e ALL,
4E _307,Géographie : Planète Cameroun 4ème (EDICEF ERA),4300,manuel,Homologué,4e ALL,
4E _434,Histoire : Planète Cameroun. Histoire 4ème (HATIER ERA),3700,manuel,Homologué,4e ALL,
4E _2808,Informatique : INFORMATIQUE 4EME (ECLOSION),4000,manuel,Homologué,4e ALL,
4E _4107,LATTACHEMENT AU SOL NATAL (IFRIKIYA),1900,manuel,Homologué,4e ALL,
4E _6196,Langue Française : Français 4ème (AFRICA EDUCATION),5000,manuel,Homologué,4e ALL,
4E _7888,Latin : LATINISTAS 4/5 EME (ECLOSION),5000,manuel,Homologué,4e ALL,
4E _7683,Mathématiques : MATHEMATIQUES 4EME (belles Lettres),4500,manuel,Homologué,4e ALL,
4E _4888,"Physique, Chimie, Technologie 4EME (NMI)",4200,manuel,Homologué,4e ALL,
4E _4136,SVTEEHB : SVTEHB 4EME (MONDOUX),4000,manuel,Homologué,4e ALL,
4E _767,"Trois Prétendants, Un Mari (CLE)",2500,manuel,Homologué,4e ALL,
4E _3207,Anglais : LEVEIL EN ANGLAIS 4 EME (NMI),4000,manuel,Homologué,4e CHINOIS,
4E _1759,Chinois : JAIME LE CHINOIS 4EME (AFRICA EDUCATION),5500,manuel,Homologué,4e CHINOIS,
4E _5647,CŒUR DU SAHEL (PROXIMITE),2500,manuel,Homologué,4e CHINOIS,
4E _4476,Education À La Citoyenneté 4ème Et 3ème /. (mondoux),3500,manuel,Homologué,4e CHINOIS,
4E _1027,Grec : Je Découvre La Langue Grec 4/5 EME(ECLOSION),5000,manuel,Homologué,4e CHINOIS,
4E _307,Géographie : Planète Cameroun 4ème (EDICEF ERA),4300,manuel,Homologué,4e CHINOIS,
4E _434,Histoire : Planète Cameroun. Histoire 4ème (HATIER ERA),3700,manuel,Homologué,4e CHINOIS,
4E _2808,Informatique : INFORMATIQUE 4EME (ECLOSION),4000,manuel,Homologué,4e CHINOIS,
4E _6196,Langue Française : Français 4ème (AFRICA EDUCATION),5000,manuel,Homologué,4e CHINOIS,
4E _3372,Latin : LATINISTAS 4/3EME (ECLOSION),5000,manuel,Homologué,4e CHINOIS,
4E _8184,L’ATTACHEMENT AU SOL NATAL (IFRIKIYA),1900,manuel,Homologué,4e CHINOIS,
4E _7683,Mathématiques : MATHEMATIQUES 4EME (belles Lettres),4500,manuel,Homologué,4e CHINOIS,
4E _4888,"Physique, Chimie, Technologie 4EME (NMI)",4200,manuel,Homologué,4e CHINOIS,
4E _4136,SVTEEHB : SVTEHB 4EME (MONDOUX),4000,manuel,Homologué,4e CHINOIS,
4E _767,"Trois Prétendants, Un Mari (CLE)",2500,manuel,Homologué,4e CHINOIS,
4E _3207,Anglais : LEVEIL EN ANGLAIS 4 EME (NMI),4000,manuel,Homologué,4e ESP,
4E _5647,CŒUR DU SAHEL (PROXIMITE),2500,manuel,Homologué,4e ESP,
4E _4476,Education À La Citoyenneté 4ème Et 3ème /. (mondoux),3500,manuel,Homologué,4e ESP,
4E _944,Espagnole: NUEVA DIDACTICA DEL ESPANOL I (HABIBI),5500,manuel,Homologué,4e ESP,
4E _1027,Grec : Je Découvre La Langue Grec 4/5 EME(ECLOSION),5000,manuel,Homologué,4e ESP,
4E _307,Géographie : Planète Cameroun 4ème (EDICEF ERA),4300,manuel,Homologué,4e ESP,
4E _434,Histoire : Planète Cameroun. Histoire 4ème (HATIER ERA),3700,manuel,Homologué,4e ESP,
