CLASSE;LIVRES;PRIX
3e ALL;VILLE CRUELLE (PRESENCE AFRIC);2 500
3e ALL;LA MARMITE DE KOKA MBALA (CLE);1 700
3e ALL;Petites gouttes de chant pour créer l’homme (CLE);2 000
3e ALL;Anglais : L’EVEIL EN ANGLAIS (NMI);4 500
3e ALL;Latin : LATINISTAS 4/3 EME (ECLOSION);5 000
3e ALL;Grec : Je découvre la langue grecque 4/5EME(ECLOSION);5 000
3e ALL;Histoire : Planète Cameroun 3EME (Hatier);3 700
3e ALL;Géographie : Planète Cameroun 3EME(Edicef);4 300
3e ALL;Education à la citoyenneté 4ème et 3ème (Mondoux);3 500
3e ALL;ALLEMAND : ERWACHEN / ALLEMAND 3EME (NMI);4 500
3e ALL;Mathématiques : MATHEMATIQUES 3EME (D AND L);4 500
3e ALL;Sciences: SVTEHB 3EME (AFRICA EDUCATION);5 000
3e ALL;Physique, Chimie, Technologie 3EME (WISDOM);4 500
3e ALL;Informatique : INFORMATIQUE 3ème (ECLOSION);4 000
3e ESP;Langue Française : Français 3ème (AFRICA EDUCATION);5 000
3e ESP;VILLE CRUELLE (PRESENCE AFRIC);2 500
3e ESP;LA MARMITE DE KOKA MBALA (CLE);1 700
3e ESP;Petites gouttes de chant pour créer l’homme (CLE);2 000
3e ESP;Anglais : L’EVEIL EN ANGLAIS (NMI);4 500
3e ESP;Latin : LATINISTAS 4/3 EME (ECLOSION);5 000
3e ESP;Grec : Je découvre la langue grecque 4/5EME(ECLOSION);5 000
3e ESP;Histoire : Planète Cameroun 3EME (Hatier);3 700
3e ESP;Géographie : Planète Cameroun 3EME(Edicef);4 300
3e ESP;Education à la citoyenneté 4ème et 3ème (Mondoux);3 500
3e ESP;Espagnole : NUEVA DIDACTICA DEL ESPANOL 2 (HABIBI);5 500
3e ESP;Mathématiques : MATHEMATIQUES 3EME (D AND L);4 500
3e ESP;Sciences: SVTEHB 3EME (AFRICA EDUCATION);5 000
3e ESP;Physique, Chimie, Technologie 3EME (WISDOM);4 500
3e ESP;Informatique : INFORMATIQUE 3ème (ECLOSION);4 000
3e CHINOIS;Langue Française : Français 3ème (AFRICA EDUCATION);5 000
3e CHINOIS;VILLE CRUELLE (PRESENCE AFRIC);2 500
3e CHINOIS;LA MARMITE DE KOKA MBALA (CLE);1 700
3e CHINOIS;Petites gouttes de chant pour créer l’homme (CLE);2 000
3e CHINOIS;Anglais : L’EVEIL EN ANGLAIS (NMI);4500
3e CHINOIS;Latin : LATINISTAS 4/3 EME (ECLOSION);5000
3e CHINOIS;Grec : Je découvre la langue grecque 4/5EME(ECLOSION);5000
3e CHINOIS;Histoire : Planète Cameroun 3EME (Hatier);3700
3e CHINOIS;Géographie : Planète Cameroun 3EME(Edicef);4300
3e CHINOIS;Education à la citoyenneté 4ème et 3ème (Mondoux);3500
3e CHINOIS;Chinois : JAIME LE CHINOIS 3EME (AFRICA EDUCATION);4 000
3e CHINOIS;Mathématiques : MATHEMATIQUES 3EME (D AND L);4 500
3e CHINOIS;Sciences: SVTEHB 3EME (AFRICA EDUCATION);5 000
3e CHINOIS;Physique, Chimie, Technologie 3EME (WISDOM);4 500
3e CHINOIS;Informatique : INFORMATIQUE 3ème (ECLOSION);4 000
3e ITALIEN;Langue Française : Français 3ème (AFRICA EDUCATION);5 000
3e ITALIEN;VILLE CRUELLE (PRESENCE AFRIC);2 500
3e ITALIEN;LA MARMITE DE KOKA MBALA (CLE);1 700
3e ITALIEN;Petites gouttes de chant pour créer l’homme (CLE);2 000
3e ITALIEN;Anglais : L’EVEIL EN ANGLAIS (NMI);4 500
3e ITALIEN;Latin : LATINISTAS 4/3 EME (ECLOSION);5 000
3e ITALIEN;Grec : Je découvre la langue grecque 4/5EME(ECLOSION);5 000
3e ITALIEN;Histoire : Planète Cameroun 3EME (Hatier);3 700
3e ITALIEN;Géographie : Planète Cameroun 3EME(Edicef);4 300
3e ITALIEN;Education à la citoyenneté 4ème et 3ème (Mondoux);3 500
3e ITALIEN;Italien : DIDACTICA DEL ITALIANO (LHARMATTAN);3 500
3e ITALIEN;Mathématiques : MATHEMATIQUES 3EME (D AND L);4 500
